Latitude,Longitude,Minerai,Quantité (kg),Pureté (%),Description
14.66432581022117,-12.868246089093269,Fer,8002,88.47631214905245,"Les gisements de fer sont situés dans plusieurs régions du Sénégal, notamment à Faleme et à Kédougou."
14.67939111178119,-16.818438387989673,Pétrole,5615,61.388268681864254,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours."
14.249349737840149,-13.469446211303621,Or,4824,99.8492046406689,Le Sénégal possède des réserves d'or exploitées principalement dans la région de Kédougou.
15.045749500890269,-17.70864551657632,Fer,4239,94.05273541650256,"Les gisements de fer sont situés dans plusieurs régions du Sénégal, notamment à Faleme et à Kédougou."
14.688647235064598,-14.284604466018886,Diamant,9418,89.82551943758645,"Les diamants sont extraits dans la région de Kédougou, ainsi que dans d'autres régions du pays."
12.64507952060221,-13.111963987411045,Pétrole,4695,66.99587192940727,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours."
13.492811981814876,-13.913059135752583,Zircon,1803,78.9140323554798,Le zircon est un minéral lourd utilisé dans l'industrie des céramiques et est présent dans les plages sénégalaises.
13.83420219852239,-12.675814069576397,Pétrole,3078,76.12622541600703,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours."
14.444001172724633,-15.867075832026876,Phosphate,1791,96.86611425260898,"Le phosphate est exploité dans la région de Matam, avec des réserves importantes à Taïba."
15.455935629362509,-13.194136950435135,Sel,3256,78.0451930574234,"Le sel est extrait des marais salants le long de la côte sénégalaise, en particulier à Saint-Louis."
16.985124456228185,-16.863492934113978,Diamant,8489,86.05164812274091,"Les diamants sont extraits dans la région de Kédougou, ainsi que dans d'autres régions du pays."
16.496391346179124,-11.89930205851215,Zircon,6535,68.5442937961462,Le zircon est un minéral lourd utilisé dans l'industrie des céramiques et est présent dans les plages sénégalaises.
14.300985620702809,-15.465142026201454,Zircon,6685,95.91343036668752,Le zircon est un minéral lourd utilisé dans l'industrie des céramiques et est présent dans les plages sénégalaises.
13.811641556291518,-14.157253641577555,Phosphate,3781,60.09419693951296,"Le phosphate est exploité dans la région de Matam, avec des réserves importantes à Taïba."
16.993617424873335,-14.241672135882892,Pétrole,3376,77.76407454169089,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours."
16.88866130759553,-16.014670555511415,Diamant,6358,75.2481209503916,"Les diamants sont extraits dans la région de Kédougou, ainsi que dans d'autres régions du pays."
13.888819793549485,-11.027698727464228,Charbon,7181,53.48468584781634,"Le charbon est présent dans le bassin houiller de Kédougou, bien que son exploitation soit limitée."
14.920791787147664,-15.82835440141999,Or,7267,91.86156962183448,Le Sénégal possède des réserves d'or exploitées principalement dans la région de Kédougou.
13.093825055876078,-16.9900402161064,Bauxite,1750,75.88652602928809,La bauxite est utilisée dans la production d'aluminium et est exploitée dans la région de Kédougou.
13.487830318178226,-14.561094802082874,Pétrole,8820,58.039108198491085,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours."
